委托日期,账户名称,资金账号,证券代码,交易市场,交易方向,母单编号,篮子编号,委托编号,柜台编号,算法类型,算法实例,子单状态,委托时间,委托数量,委托价格,成交数量,成交均价,完成金额,剩余数量,交易费用,其他费用
20230601	,jltest1	,202304181002	,600691.SH	,上交所,卖出,6880527337660004300	,202360192361210924	,6600527342000000000	,KF_6600527342000000000	,VWAP,kf_vwap_plus,已成,09:30:00,4300,3.080,4300,3.080,13244.00,0,0.00,14.29
20230601	,jltest2	,202305181001	,600691.SH	,上交所,卖出,6880527336830004500	,202360192252880824	,6600527342000000100	,KF_6600527342000000100	,VWAP,kf_vwap_plus,已成,09:30:00,1700,3.080,1700,3.080,5236.00,0,0.00,5.65
20230601	,jltest2	,202305181001	,600578.SH	,上交所,卖出,6880527336830003100	,202360192252880220	,6600527342000000200	,KF_6600527342000000200	,VWAP,kf_vwap_plus,已成,09:30:00,2100,3.760,2100,3.760,7896.00,0,0.00,8.52
20230601	,jltest2	,202305181001	,002042.SZ	,深交所,卖出,6880527336830001900	,20236019225287919	,6600527342000000300	,KF_6600527342000000300	,VWAP,kf_vwap_plus,已撤,09:30:00,800,3.180,0,0.000,0.00,0,0.00,0.00
20230601	,jltest1	,202304181002	,300477.SZ	,深交所,买入,6880527337660007900	,202360192361215342	,6600527342000000400	,KF_6600527342000000400	,VWAP,kf_vwap_plus,已成,09:30:00,1100,4.550,1100,4.560,5016.00,0,0.00,0.39
20230601	,jltest2	,202305181001	,300477.SZ	,深交所,买入,6880527336830007900	,202360192252883242	,6600527342000000500	,KF_6600527342000000500	,VWAP,kf_vwap_plus,已成,09:30:00,300,4.550,300,4.560,1368.00,0,0.00,0.11
20230601	,jltest1	,202304181002	,600578.SH	,上交所,卖出,6880527337660003900	,202360192361210620	,6600527342000000600	,KF_6600527342000000600	,VWAP,kf_vwap_plus,已成,09:30:00,10700,3.760,10700,3.760,40232.00,0,0.00,43.40
20230601	,jltest1	,202304181002	,002042.SZ	,深交所,卖出,6880527337660002100	,20236019236120969	,6600527342000000700	,KF_6600527342000000700	,VWAP,kf_vwap_plus,已撤,09:30:00,4000,3.180,0,0.000,0.00,0,0.00,0.00
20230601	,jltest1	,202304181002	,600675.SH	,上交所,卖出,6880527337660004100	,202360192361210822	,6600527342000000800	,KF_6600527342000000800	,VWAP,kf_vwap_plus,已成,09:30:00,6300,2.820,6300,2.820,17766.00,0,0.00,19.16
20230601	,jltest2	,202305181001	,600675.SH	,上交所,卖出,6880527336830003900	,202360192252880422	,6600527342000000900	,KF_6600527342000000900	,VWAP,kf_vwap_plus,已成,09:30:00,1000,2.820,1000,2.820,2820.00,0,0.00,3.04
20230601	,jltest2	,202305181001	,000652.SZ	,深交所,卖出,6880527336830000300	,20236019225287834	,6600527342000001000	,KF_6600527342000001000	,VWAP,kf_vwap_plus,已撤,09:30:00,1900,4.110,0,0.000,0.00,0,0.00,0.00
20230601	,jltest1	,202304181002	,000652.SZ	,深交所,卖出,6880527337660000300	,20236019236120924	,6600527342000001100	,KF_6600527342000001100	,VWAP,kf_vwap_plus,已撤,09:30:00,9300,4.110,0,0.000,0.00,0,0.00,0.00
20230601	,jltest1	,202304181002	,000517.SZ	,深交所,买入,6880527337660005900	,202360192361212530	,6600527342000001200	,KF_6600527342000001200	,VWAP,kf_vwap_plus,已成,09:30:00,2800,2.910,2800,2.910,8148.00,0,0.00,0.64
20230601	,jltest2	,202305181001	,000517.SZ	,深交所,买入,6880527336830005500	,202360192252882230	,6600527342000001300	,KF_6600527342000001300	,VWAP,kf_vwap_plus,已成,09:30:00,300,2.910,300,2.910,873.00,0,0.00,0.07
20230601	,jltest2	,202305181001	,002239.SZ	,深交所,卖出,6880527336830001500	,202360192252879210	,6600527342000001400	,KF_6600527342000001400	,VWAP,kf_vwap_plus,已成,09:30:00,3100,2.500,3100,2.510,7781.00,0,0.00,8.39
20230601	,jltest1	,202304181002	,002239.SZ	,深交所,卖出,6880527337660001900	,202360192361209710	,6600527342000001500	,KF_6600527342000001500	,VWAP,kf_vwap_plus,已成,09:30:00,19200,2.500,19200,2.510,48192.00,0,0.00,51.98
20230601	,jltest2	,202305181001	,600403.SH	,上交所,卖出,6880527336830003500	,202360192252880119	,6600527342000001600	,KF_6600527342000001600	,VWAP,kf_vwap_plus,已成,09:30:00,400,4.130,400,4.130,1652.00,0,0.00,1.78
20230601	,jltest1	,202304181002	,600403.SH	,上交所,卖出,6880527337660003500	,202360192361210519	,6600527342000001700	,KF_6600527342000001700	,VWAP,kf_vwap_plus,已成,09:30:00,2400,4.130,2400,4.130,9912.00,0,0.00,10.69
